Continent,Country,2013 Rate,2011 Rate,2009 Rate,2007 Rate,2013 Value,2011 Value,2009 Value,2007 Value
North America,Canada,25,27,29,33,1089,1141,943,1071
North America,Puerto Rico,42,42,46,44,27,44,46,33
North America,United States,18,19,20,20,9737,9773,8390,8040
Western Europe,Austria,22,23,25,25,173,226,212,157
Western Europe,Belgium,24,24,25,25,237,252,239,223
Western Europe,Cyprus,47,48,48,50,19,19,16,14
Western Europe,Denmark,23,24,26,25,224,222,203,193
Western Europe,Finland,24,25,25,25,208,210,175,160
Western Europe,France,36,37,40,42,2685,2754,2544,2601
Western Europe,Germany,24,26,28,27,2158,2265,2023,1937
Western Europe,Greece,62,61,58,58,220,343,248,198
Western Europe,Iceland,48,48,49,48,12,17,11,33
Western Europe,Ireland,33,34,35,34,107,144,125,106
Western Europe,Italy,47,48,49,49,1747,1945,1733,1779
Western Europe,Luxembourg,20,20,21,21,30,33,30,16
Western Europe,Malta,44,43,45,46,5,7,7,7
Western Europe,Netherlands,25,27,28,28,584,644,525,502
Western Europe,Norway,25,27,29,29,248,289,195,195
Western Europe,Portugal,40,40,40,43,180,245,221,167
Western Europe,Spain,45,44,42,43,1044,1216,1014,903
Western Europe,Sweden,23,24,25,25,397,461,304,324
Western Europe,Switzerland,24,25,25,25,469,514,344,303
Western Europe,United Kingdom,24,26,27,26,2019,1943,1581,1837
